Day,Date,Max_Temp,Min_Temp,Predtion,Wind_pop_info,Wind_value
Today,10 Mar, 35°C, 16°C,Partly cloudy skies. Strong winds.,229°,35 Km/h
Thursday,11 Mar, 27°C, 14°C,Partly cloudy skies. Strong winds.,306°,28 Km/h
Friday,12 Mar, 23°C, 10°C,Mostly clear. Strong winds.,337°,30 Km/h
Saturday,13 Mar, 24°C, 12°C,Partly cloudy skies.,13°,26 Km/h
Sunday,14 Mar, 26°C, 12°C,Partly cloudy skies. Strong winds.,57°,29 Km/h
Monday,15 Mar, 26°C, 12°C,Clear weather. Strong winds.,336°,30 Km/h
Tuesday,16 Mar, 23°C, 12°C,Partly cloudy skies.,329°,23 Km/h
